Circuit ,MMR A,<>,MMR Z,Cassette,Port,<>,151 A,Cassette,Port,<>,151 Z,Cassette,Port,<>,120 A,Cassette,Port,<>,120 Z,Cassette ,Port,<>,160 A,Cassette,Port,<>,Location,Nokia Port ,Notes 
XID0363 / 447874986,MMR ISP PP,<>,MMR164.R5.RU22,A,1/2,<>,DH151.R33.RU4,A,1/2,<>,,,,,,,,<>,,,,,,,,<>,,,
XID0369 / 44787492,MMR ISP PP,<>,MMR164.R5.RU22,A,3/4,<>,DH151.R33.RU4,A,,<>,,,,,,,,<>,,,,,,,,<>,,,
BAD DO NOT USE ,MMR ISP PP,<>,MMR164.R5.RU22,A,5/6,<>,DH151.R33.RU4,A,5/6,<>,,,,,,,,<>,,,,,,,,<>,,,
XID0365 / 447874988,MMR ISP PP,<>,MMR164.R5.RU22,A,7/8,<>,DH151.R33.RU4,A,,<>,,,,,,,,<>,,,,,,,,<>,,,
BAD DO NOT USE ,MMR ISP PP,<>,MMR164.R5.RU22,A,9/10,<>,DH151.R33.RU4,A,9/10,<>,,,,,,,,<>,,,,,,,,<>,,,
XID0364 / 447874987,MMR ISP PP,<>,MMR164.R5.RU22,A,11/12,<>,DH151.R33.RU4,A,,<>,,,,,,,,<>,,,,,,,,<>,,,
XID0366 / 447874989,MMR ISP PP,<>,MMR164.R5.RU22,A,13/14,<>,DH151.R33.RU4,A,,<>,,,,,,,,<>,,,,,,,,<>,,,
XID0362 / 447874980,MMR ISP PP,<>,MMR164.R5.RU22,A,15/16,<>,DH151.R33.RU4,A,,<>,,,,,,,,<>,,,,,,,,<>,,,
XID0368 / 447874991,MMR ISP PP,<>,MMR164.R5.RU22,A,17/18,<>,DH151.R33.RU4,A,,<>,,,,,,,,<>,,,,,,,,<>,,,
XID0417 / 448933804,MMR ISP PP,<>,MMR164.R5.RU22,A,19/20,<>,DH151.R33.RU4,A,19/20,<>,DH151 CAB33 RU05,D,15/16,<>,dh120.266.32,D,15/16,<>,,A,15/16,<>,dh160.26.38,C,,<>,dh160.1.38,C24,
XID0418/ 448933797,MMR ISP PP,<>,MMR164.R5.RU22,A,21/22,<>,DH151.R33.RU4,A,21/22,<>,DH151 CAB33 RU05,D,3/4,<>,dh120.266.32,D,3/4,<>,,A,3/4,<>,dh160.26.38,C,,<>,dh160.1.38,C18,
XID0419 / 448933799,MMR ISP PP,<>,MMR164.R5.RU22,A,23/24,<>,DH151.R33.RU4,A,23/24,<>,DH151 CAB33 RU05,D,5/6,<>,dh120.266.32,D,5/6,<>,,A,5/6,<>,dh160.26.38,C,,<>,dh160.1.38,C19,
XID0424 / 448933708,MMR ISP PP,<>,MMR164.R5.RU22,B,1/2,<>,DH151.R33.RU4,B,1/2,<>,DH151 CAB33 RU05,D,1/2,<>,dh120.266.32,D,1/2,<>,,A,1/2,<>,dh160.26.38,C,,<>,dh160.1.38,C17,
XID0416 / 448933801,MMR ISP PP,<>,MMR164.R5.RU22,B,3/4,<>,DH151.R33.RU4,B,3/4,<>,DH151 CAB33 RU05,D,9/10,<>,dh120.266.32,D,9/10,<>,,A,9/10,<>,dh160.26.38,C,,<>,dh160.1.38,C21,
OPEN,MMR ISP PP,<>,MMR164.R5.RU22,B,5/6,<>,DH151.R33.RU4,B,,<>,,,,,,,,<>,,,,,,,,<>,,,
OPEN,MMR ISP PP,<>,MMR164.R5.RU22,B,7/8,<>,DH151.R33.RU4,B,,<>,,,,,,,,<>,,,,,,,,<>,,,
,MMR ISP PP,<>,MMR164.R5.RU22,B,9/10,<>,DH151.R33.RU4,B,,<>,,,,,,,,<>,,,,,,,,<>,,,
