STATUS,A-SIDE LOCODE,A-LOC:CAB:RU,A-SIDE-DNS-NAME,A-MODEL,A-PORT,"A-BREAKOUT
LOC:CAB:RU","A-BREAKOUT
SLOT:PORT",A-OPTIC,"A-PATCH-PANEL
LOC:CAB:RU:PORT",Z-SIDE LOCODE,Z-LOC:CAB:RU,Z-SIDE-DNS-NAME,Z-MODEL,Z-PORT,"Z-BREAKOUT
LOC:CAB:RU","Z-BREAKOUT
SLOT:PORT","Z-PATCH-PANEL
LOC:CAB:RU:PORT",Z-OPTIC,CABLE,IPv4-VRF-DEFAULT-10,IPv6-VRF-DEFAULT-10,IPv4-VRF-MGMT-20,IPv6-VRF-MGMT-20,IPv4-VRF-IPMI-30,IPv6-VRF-IPMI-30,IPv4-VRF-IPMI-31,IPv6-VRF-IPMI-31,IPv4-VRF-TSS-40,IPv6-VRF-TSS-40,IPv4-VRF-PUB-90,IPv6-VRF-PUB-90,IPv4-TNT-MSFT-101,IPv6-TNT-MSFT-101,IPv4-TNT-MSFT-102,IPv6-TNT-MSFT-102,IPv4-TNT-AWS-201,IPv6-TNT-AWS-201,IPv4-TNT-AWS-202,IPv6-TNT-AWS-202,IPv4-TNT-AWS-203,IPv6-TNT-AWS-203,IPv4-TNT-GCP-204,IPv6-TNT-GCP-204,IPv4-TNT-GCP-205,IPv6-TNT-GCP-205,IPv4-TNT-GCP-206,IPv6-TNT-GCP-206,IPv4-TNT-GCP-207,IPv6-TNT-GCP-207,IPv4-TNT-AWS-208,IPv6-TNT-AWS-208
DATA HALL 151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edge Connectivity ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LLDP:  Passed,US-PHX01,dh151:033:22,con-01-dh151-r033-us-west-02a,om2216-c14,1,,,,,US-PHX01,dh151:033:42,mgmt-core-01a-r033-us-west-02a,sn4700,Console,,,,,CAT6a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LLDP:  Passed,US-PHX01,dh151:033:22,con-01-dh151-r033-us-west-02a,om2216-c14,2,,,,,US-PHX01,dh151:033:38,mgmt-dist-01a-r033-us-west-02a,sn3420,Console,,,,,CAT6a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LLDP:  Passed,US-PHX01,dh151:033:22,con-01-dh151-r033-us-west-02a,om2216-c14,3,,,,,US-PHX01,dh151:033:36,fbs01-r033-us-west-02a,sn4700,Console,,,,,CAT6a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LLDP:  Passed,US-PHX01,dh151:033:22,con-01-dh151-r033-us-west-02a,om2216-c14,4,,,,,US-PHX01,dh151:033:34,fbs02-r033-us-west-02a,sn4700,Console,,,,,CAT6a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LLDP:  Passed,US-PHX01,dh151:033:22,con-01-dh151-r033-us-west-02a,om2216-c14,5,,,,,US-PHX01,dh151:033:20,net-01-dh151-r033-us-west-02a,sn2201,Console,,,,,CAT6a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LLDP:  Passed,US-PHX01,dh151:033:22,con-01-dh151-r033-us-west-02a,om2216-c14,6,,,,,US-PHX01,dh151:033:18,t4a-01-r033-us-west-02a,sn4700,Console,,,,,CAT6a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LLDP:  Passed,US-PHX01,dh151:033:22,con-01-dh151-r033-us-west-02a,om2216-c14,7,,,,,US-PHX01,dh151:033:16,t4a-02-r033-us-west-02a,sn4700,Console,,,,,CAT6a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LLDP:  Passed,US-PHX01,dh151:033:22,con-01-dh151-r033-us-west-02a,om2216-c14,8,,,,,US-PHX01,dh151:033:10,t4b-01-r033-us-west-02a,sn4700,Console,,,,,CAT6a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LLDP:  Passed,US-PHX01,dh151:033:22,con-01-dh151-r033-us-west-02a,om2216-c14,9,,,,,US-PHX01,dh151:033:08,t4b-02-r033-us-west-02a,sn4700,Console,,,,,CAT6a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LLDP:  Passed,US-PHX01,dh151:034:22,con-01-dh151-r034-us-west-02a,om2216-c14,1,,,,,US-PHX01,dh151:034:42,mgmt-core-02a-r034-us-west-02a,sn4700,Console,,,,,CAT6a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LLDP:  Passed,US-PHX01,dh151:034:22,con-01-dh151-r034-us-west-02a,om2216-c14,2,,,,,US-PHX01,dh151:034:38,mgmt-dist-02a-r034-us-west-02a,sn3420,Console,,,,,CAT6a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LLDP:  Passed,US-PHX01,dh151:034:22,con-01-dh151-r034-us-west-02a,om2216-c14,3,,,,,US-PHX01,dh151:034:36,fbs03-r034-us-west-02a,sn4700,Console,,,,,CAT6a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LLDP:  Passed,US-PHX01,dh151:034:22,con-01-dh151-r034-us-west-02a,om2216-c14,4,,,,,US-PHX01,dh151:034:34,fbs04-r034-us-west-02a,sn4700,Console,,,,,CAT6a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LLDP:  Passed,US-PHX01,dh151:034:22,con-01-dh151-r034-us-west-02a,om2216-c14,5,,,,,US-PHX01,dh151:034:20,net-01-dh151-r034-us-west-02a,sn2201,Console,,,,,CAT6a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LLDP:  Passed,US-PHX01,dh151:034:22,con-01-dh151-r034-us-west-02a,om2216-c14,6,,,,,US-PHX01,dh151:034:18,t4c-01-r034-us-west-02a,sn4700,Console,,,,,CAT6a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LLDP:  Passed,US-PHX01,dh151:034:22,con-01-dh151-r034-us-west-02a,om2216-c14,7,,,,,US-PHX01,dh151:034:16,t4c-02-r034-us-west-02a,sn4700,Console,,,,,CAT6a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LLDP:  Passed,US-PHX01,dh151:034:22,con-01-dh151-r034-us-west-02a,om2216-c14,8,,,,,US-PHX01,dh151:034:10,t4d-01-r034-us-west-02a,sn4700,Console,,,,,CAT6a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LLDP:  Passed,US-PHX01,dh151:034:22,con-01-dh151-r034-us-west-02a,om2216-c14,9,,,,,US-PHX01,dh151:034:08,t4d-02-r034-us-west-02a,sn4700,Console,,,,,CAT6a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LLDP:  Passed,US-PHX01,dh151:035:22,con-01-dh151-r035-us-west-02a,om2216-c14,1,,,,,US-PHX01,dh151:035:42,t3a-gg1-01-r035-us-west-02a,sn4700,Console,,,,,CAT6a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LLDP:  Passed,US-PHX01,dh151:035:22,con-01-dh151-r035-us-west-02a,om2216-c14,2,,,,,US-PHX01,dh151:035:40,t3a-gg1-02-r035-us-west-02a,sn4700,Console,,,,,CAT6a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LLDP:  Passed,US-PHX01,dh151:035:22,con-01-dh151-r035-us-west-02a,om2216-c14,3,,,,,US-PHX01,dh151:035:38,t3a-gg1-03-r035-us-west-02a,sn4700,Console,,,,,CAT6a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LLDP:  Passed,US-PHX01,dh151:035:22,con-01-dh151-r035-us-west-02a,om2216-c14,4,,,,,US-PHX01,dh151:035:36,t3a-gg1-04-r035-us-west-02a,sn4700,Console,,,,,CAT6a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LLDP:  Passed,US-PHX01,dh151:035:22,con-01-dh151-r035-us-west-02a,om2216-c14,5,,,,,US-PHX01,dh151:035:20,net-01-dh151-r035-us-west-02a,sn2201,Console,,,,,CAT6a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LLDP:  Passed,US-PHX01,dh151:035:22,con-01-dh151-r035-us-west-02a,om2216-c14,6,,,,,US-PHX01,dh151:035:18,t3b-gg1-01-r035-us-west-02a,sn4700,Console,,,,,CAT6a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LLDP:  Passed,US-PHX01,dh151:035:22,con-01-dh151-r035-us-west-02a,om2216-c14,7,,,,,US-PHX01,dh151:035:16,t3b-gg1-02-r035-us-west-02a,sn4700,Console,,,,,CAT6a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LLDP:  Passed,US-PHX01,dh151:035:22,con-01-dh151-r035-us-west-02a,om2216-c14,8,,,,,US-PHX01,dh151:035:14,t3b-gg1-03-r035-us-west-02a,sn4700,Console,,,,,CAT6a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LLDP:  Passed,US-PHX01,dh151:035:22,con-01-dh151-r035-us-west-02a,om2216-c14,9,,,,,US-PHX01,dh151:035:12,t3b-gg1-04-r035-us-west-02a,sn4700,Console,,,,,CAT6a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LLDP:  Passed,US-PHX01,dh151:036:22,con-01-dh151-r036-us-west-02a,om2216-c14,1,,,,,US-PHX01,dh151:036:42,t3c-gg1-01-r036-us-west-02a,sn4700,Console,,,,,CAT6a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LLDP:  Passed,US-PHX01,dh151:036:22,con-01-dh151-r036-us-west-02a,om2216-c14,2,,,,,US-PHX01,dh151:036:40,t3c-gg1-02-r036-us-west-02a,sn4700,Console,,,,,CAT6a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LLDP:  Passed,US-PHX01,dh151:036:22,con-01-dh151-r036-us-west-02a,om2216-c14,3,,,,,US-PHX01,dh151:036:38,t3c-gg1-03-r036-us-west-02a,sn4700,Console,,,,,CAT6a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LLDP:  Passed,US-PHX01,dh151:036:22,con-01-dh151-r036-us-west-02a,om2216-c14,4,,,,,US-PHX01,dh151:036:36,t3c-gg1-04-r036-us-west-02a,sn4700,Console,,,,,CAT6a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LLDP:  Passed,US-PHX01,dh151:036:22,con-01-dh151-r036-us-west-02a,om2216-c14,5,,,,,US-PHX01,dh151:036:20,net-01-dh151-r036-us-west-02a,sn2201,Console,,,,,CAT6a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LLDP:  Passed,US-PHX01,dh151:036:22,con-01-dh151-r036-us-west-02a,om2216-c14,6,,,,,US-PHX01,dh151:036:18,t3d-gg1-01-r036-us-west-02a,sn4700,Console,,,,,CAT6a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LLDP:  Passed,US-PHX01,dh151:036:22,con-01-dh151-r036-us-west-02a,om2216-c14,7,,,,,US-PHX01,dh151:036:16,t3d-gg1-02-r036-us-west-02a,sn4700,Console,,,,,CAT6a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LLDP:  Passed,US-PHX01,dh151:036:22,con-01-dh151-r036-us-west-02a,om2216-c14,8,,,,,US-PHX01,dh151:036:14,t3d-gg1-03-r036-us-west-02a,sn4700,Console,,,,,CAT6a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LLDP:  Passed,US-PHX01,dh151:036:22,con-01-dh151-r036-us-west-02a,om2216-c14,9,,,,,US-PHX01,dh151:036:12,t3d-gg1-04-r036-us-west-02a,sn4700,Console,,,,,CAT6a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LLDP:  Passed,US-PHX01,dh151:033:20,net-01-dh151-r033-us-west-02a,sn2201,swp1,,,,,US-PHX01,dh151:033:42,mgmt-core-01a-r033-us-west-02a,sn4700,mgmt,,,,,CAT6a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LLDP:  Passed,US-PHX01,dh151:033:20,net-01-dh151-r033-us-west-02a,sn2201,swp2,,,,,US-PHX01,dh151:033:38,mgmt-dist-01a-r033-us-west-02a,sn3420,mgmt,,,,,CAT6a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LLDP:  Passed,US-PHX01,dh151:033:20,net-01-dh151-r033-us-west-02a,sn2201,swp3,,,,,US-PHX01,dh151:033:36,fbs01-r033-us-west-02a,sn4700,mgmt,,,,,CAT6a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LLDP:  Passed,US-PHX01,dh151:033:20,net-01-dh151-r033-us-west-02a,sn2201,swp4,,,,,US-PHX01,dh151:033:34,fbs02-r033-us-west-02a,sn4700,mgmt,,,,,CAT6a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Human Verified,US-PHX01,dh151:033:20,net-01-dh151-r033-us-west-02a,sn2201,swp5,,,,,US-PHX01,dh151:033:27,oob-fw-01-r033-us-west-02a,pa-1420,mgmt,,,,,CAT6a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Human Verified,US-PHX01,dh151:033:20,net-01-dh151-r033-us-west-02a,sn2201,swp6,,,,,US-PHX01,dh151:033:24,ufm1-r033-us-west-02a,cpu-hpe-01,eth0,,,,,CAT6a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LLDP:  Passed,US-PHX01,dh151:033:20,net-01-dh151-r033-us-west-02a,sn2201,swp7,,,,,US-PHX01,dh151:033:22,con-01-dh151-r033-us-west-02a,om2216-c14,NET1,,,,,CAT6a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LLDP:  Passed,US-PHX01,dh151:033:20,net-01-dh151-r033-us-west-02a,sn2201,swp8,,,,,US-PHX01,dh151:033:18,t4a-01-r033-us-west-02a,sn4700,mgmt,,,,,CAT6a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LLDP:  Passed,US-PHX01,dh151:033:20,net-01-dh151-r033-us-west-02a,sn2201,swp9,,,,,US-PHX01,dh151:033:16,t4a-02-r033-us-west-02a,sn4700,mgmt,,,,,CAT6a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LLDP:  Passed,US-PHX01,dh151:033:20,net-01-dh151-r033-us-west-02a,sn2201,swp10,,,,,US-PHX01,dh151:033:10,t4b-01-r033-us-west-02a,sn4700,mgmt,,,,,CAT6a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LLDP:  Passed,US-PHX01,dh151:033:20,net-01-dh151-r033-us-west-02a,sn2201,swp11,,,,,US-PHX01,dh151:033:08,t4b-02-r033-us-west-02a,sn4700,mgmt,,,,,CAT6a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LLDP:  Passed,US-PHX01,dh151:033:20,net-01-dh151-r033-us-west-02a,sn2201,swp12,,,,,US-PHX01,dh173:012:29,comp-agg-gg1-a-01a-r012-us-west-02a,sn3700,mgmt,,,,,CAT6a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LLDP:  Passed,US-PHX01,dh151:033:20,net-01-dh151-r033-us-west-02a,sn2201,swp13,,,,,US-PHX01,dh173:012:28,comp-agg-gg1-a-02a-r012-us-west-02a,sn3700,mgmt,,,,,CAT6a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LLDP:  Passed,US-PHX01,dh151:033:20,net-01-dh151-r033-us-west-02a,sn2201,swp14,,,,,US-PHX01,dh173:012:26,net-agg-gg1-a-01a-r012-us-west-02a,sn3700,mgmt,,,,,CAT6a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LLDP:  Passed,US-PHX01,dh151:033:20,net-01-dh151-r033-us-west-02a,sn2201,swp15,,,,,US-PHX01,dh173:012:25,net-agg-gg1-a-02a-r012-us-west-02a,sn3700,mgmt,,,,,CAT6a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LLDP:  Passed,US-PHX01,dh151:033:20,net-01-dh151-r033-us-west-02a,sn2201,swp16,,,,,US-PHX01,dh151:010:29,comp-agg-gg1-b-01a-r010-us-west-02a,sn3700,mgmt,,,,,CAT6a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LLDP:  Passed,US-PHX01,dh151:033:20,net-01-dh151-r033-us-west-02a,sn2201,swp17,,,,,US-PHX01,dh151:010:28,comp-agg-gg1-b-02a-r010-us-west-02a,sn3700,mgmt,,,,,CAT6a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LLDP:  Passed,US-PHX01,dh151:033:20,net-01-dh151-r033-us-west-02a,sn2201,swp18,,,,,US-PHX01,dh151:010:26,net-agg-gg1-b-01a-r010-us-west-02a,sn3700,mgmt,,,,,CAT6a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LLDP:  Passed,US-PHX01,dh151:033:20,net-01-dh151-r033-us-west-02a,sn2201,swp19,,,,,US-PHX01,dh151:010:25,net-agg-gg1-b-02a-r010-us-west-02a,sn3700,mgmt,,,,,CAT6a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LLDP:  Passed,US-PHX01,dh151:033:20,net-01-dh151-r033-us-west-02a,sn2201,swp20,,,,,US-PHX01,dh151:330:29,comp-agg-gg1-c-01a-r330-us-west-02a,sn3700,mgmt,,,,,CAT6a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LLDP:  Passed,US-PHX01,dh151:033:20,net-01-dh151-r033-us-west-02a,sn2201,swp21,,,,,US-PHX01,dh151:330:28,comp-agg-gg1-c-02a-r330-us-west-02a,sn3700,mgmt,,,,,CAT6a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LLDP:  Passed,US-PHX01,dh151:033:20,net-01-dh151-r033-us-west-02a,sn2201,swp22,,,,,US-PHX01,dh151:330:26,net-agg-gg1-c-01a-r330-us-west-02a,sn3700,mgmt,,,,,CAT6a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LLDP:  Passed,US-PHX01,dh151:033:20,net-01-dh151-r033-us-west-02a,sn2201,swp23,,,,,US-PHX01,dh151:330:25,net-agg-gg1-c-02a-r330-us-west-02a,sn3700,mgmt,,,,,CAT6a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
