STATUS,A-SIDE LOCODE,A-LOC:CAB:RU,A-SIDE-DNS-NAME,A-MODEL,A-PORT,"A-BREAKOUT
LOC:CAB:RU","A-BREAKOUT
SLOT:PORT",A-OPTIC,"A-PATCH-PANEL
LOC:CAB:RU:PORT",Z-SIDE LOCODE,Z-LOC:CAB:RU,Z-SIDE-DNS-NAME,Z-MODEL,Z-PORT,"Z-BREAKOUT
LOC:CAB:RU","Z-BREAKOUT
SLOT:PORT","Z-PATCH-PANEL
LOC:CAB:RU:PORT",Z-OPTIC,CABLE,IPv4-VRF-DEFAULT-10,IPv6-VRF-DEFAULT-10,IPv4-VRF-MGMT-20,IPv6-VRF-MGMT-20,IPv4-VRF-IPMI-30,IPv6-VRF-IPMI-30,IPv4-VRF-IPMI-31,IPv6-VRF-IPMI-31,IPv4-VRF-TSS-40,IPv6-VRF-TSS-40,IPv4-VRF-PUB-90,IPv6-VRF-PUB-90,IPv4-TNT-MSFT-101,IPv6-TNT-MSFT-101
C160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OOB-FIREWALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cable Is Ran: Complete,US-PHX01,c160:001:10,oob-fw-01-r001-us-west-02b,PA-1420,eth1/21,,,SFP-BASE-10G-LR,,US-PHX01,,OOB DIA,,,,,,SFP-BASE-10G-LR,LC-TO-LC SMF,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LLDP:  Passed,US-PHX01,c160:001:10,oob-fw-01-r001-us-west-02b,PA-1420,eth1/15,,,SFP-BASE-10G-LR,,US-PHX01,c160:003:42,mgmt-core-01a-r003-us-west-02b,SN4700,swp26,,,,MAM1Q00A-QSA28:10G-SFP-LR,LC-TO-LC SMF,,,,,,,,,,,,,,
LLDP:  Passed,US-PHX01,c160:001:10,oob-fw-01-r001-us-west-02b,PA-1420,eth1/16,,,SFP-BASE-10G-LR,,US-PHX01,c160:004:42,mgmt-core-02a-r004-us-west-02b,SN4700,swp26,,,,MAM1Q00A-QSA28:10G-SFP-LR,LC-TO-LC SMF,,,,,,,,,,,,,,
Cable Is Ran: Complete,US-PHX01,c160:001:10,oob-fw-01-r001-us-west-02b,PA-1420,eth1/17,,,SFP-BASE-10G-LR,,US-PHX01,c160:001:18,mgmt-core-01a-r001-us-west-02b,SN3700,swp24,,,,MAM1Q00A-QSA28:10G-SFP-LR,LC-TO-LC SMF,,,,,,,,,,,,,,
Cable Is Ran: Complete,US-PHX01,c160:001:10,oob-fw-01-r001-us-west-02b,PA-1420,eth1/18,,,SFP-BASE-10G-LR,,US-PHX01,c160:002:18,mgmt-core-02a-r002-us-west-02b,SN3700,swp24,,,,MAM1Q00A-QSA28:10G-SFP-LR,LC-TO-LC SMF,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cable Is Ran: Complete,US-PHX01,c160:001:10,oob-fw-01-r001-us-west-02b,PA-1420,eth1/1,,,,,US-PHX01,c160:001:20,net-01-c160-r001-us-west-02b,OM2216-C14,NET2,,,,,CAT6a,,,,,,,,,,,,,,
Cable Is Ran: Complete,US-PHX01,c160:001:10,oob-fw-01-r001-us-west-02b,PA-1420,eth1/2,,,,,US-PHX01,c160:002:22,con-01-c160-r002-us-west-02b,OM2216-C14,NET2,,,,,CAT6a,,,,,,,,,,,,,,
Cable Is Ran: Complete,US-PHX01,c160:001:10,oob-fw-01-r001-us-west-02b,PA-1420,eth1/3,,,,,US-PHX01,c160:003:22,con-01-c160-r003-us-west-02b,OM2216-C14,NET2,,,,,CAT6a,,,,,,,,,,,,,,
Cable Is Ran: Complete,US-PHX01,c160:001:10,oob-fw-01-r001-us-west-02b,PA-1420,eth1/4,,,,,US-PHX01,c160:004:22,con-01-c160-r004-us-west-02b,OM2216-C14,NET2,,,,,CAT6a,,,,,,,,,,,,,,
Cable Is Ran: Complete,US-PHX01,c160:001:10,oob-fw-01-r001-us-west-02b,PA-1420,eth1/5,,,,,US-PHX01,c160:003:30,metal-ztp01-us-west-02b,PROLIANT-DL360-GEN10-PLUS,enp199s0f1np1,,,,,CAT6a,,,,,,,,,,,,,,
